40
-1;3;1;3;-1;0;22
1;3;1;3;-1;11;0
1;3;1;0;-1;0;19
-1;3;1;0;-1;0;22
-1;3;1;0;1;0;22
-1;3;1;1;1;0;22
-1;3;1;2;1;15;0
-1;3;1;3;1;0;4
1;3;1;3;1;0;0
1;3;2;0;-1;22;0
-1;3;2;0;-1;0;22
-1;2;2;0;-1;22;0
-1;2;2;0;1;22;2
-1;2;2;1;1;19;0
-1;2;2;1;-1;4;0
1;2;2;1;-1;0;21
1;2;2;1;1;0;21
-1;2;1;1;1;0;0
-1;2;1;1;-1;0;20
-1;2;1;0;-1;0;2
1;2;2;0;1;0;22
1;2;2;0;-1;0;22
1;2;2;3;1;0;21
-1;2;2;3;1;17;0
-1;2;2;3;-1;6;0
-1;2;2;2;1;8;0
-1;2;2;2;-1;0;0
1;2;2;2;1;0;21
1;1;2;3;1;19;0
-1;1;2;3;1;0;23
-1;1;2;3;-1;0;27
-1;1;1;3;-1;0;15
1;1;1;3;-1;6;0
-1;1;1;2;-1;1;22
1;1;1;2;-1;4;1
-1;1;2;2;-1;0;22
-1;1;2;2;1;0;22
1;1;2;2;-1;22;0
1;1;2;0;1;15;0
1;1;2;0;-1;14;0
-1;1;2;0;-1;0;21
-1;1;1;0;-1;0;24
-1;1;1;1;-1;0;38
-1;1;2;1;-1;0;23
-1;1;2;1;1;0;22
-1;2;1;2;-1;6;0
1;2;1;1;-1;2;0
1;2;1;1;1;0;23
1;2;1;0;1;0;3
-1;3;2;0;1;0;22
1;3;2;1;-1;11;0
1;3;2;1;1;21;0
1;0;2;1;-1;0;22
1;0;2;1;1;0;15
1;3;2;0;1;22;0
-1;3;2;1;1;0;22
-1;3;2;1;-1;0;28
-1;3;2;2;1;0;22
-1;0;2;2;1;22;0
1;0;2;2;1;0;5
1;0;2;2;-1;2;21
1;0;2;0;-1;0;20
-1;0;2;0;-1;3;0
-1;0;1;0;-1;0;2
-1;1;2;0;1;0;20
-1;2;1;3;-1;0;1
-1;2;1;0;1;7;1
1;2;2;3;-1;0;20
1;1;2;3;-1;15;0
1;0;2;3;-1;0;20
1;2;1;3;1;0;0
-1;2;1;3;1;0;14
1;3;1;2;1;6;0
1;3;2;2;1;23;0
-1;3;2;2;-1;0;20
1;3;2;2;-1;0;0
1;2;1;2;1;0;11
1;3;1;2;-1;0;0
-1;0;2;2;-1;22;0
-1;0;1;2;1;3;0
-1;0;1;2;-1;0;21
-1;0;1;1;1;0;21
-1;0;2;1;1;22;0
1;0;1;1;1;5;0
-1;0;2;1;-1;14;0
1;1;2;2;1;16;0
1;2;1;3;-1;0;21
-1;0;2;3;-1;4;0
1;0;1;3;-1;0;1
1;0;1;2;-1;1;14
-1;1;1;2;1;0;31
1;0;1;0;-1;2;11
1;3;1;1;1;0;0
-1;0;2;0;1;0;0
1;2;1;0;-1;0;0
1;3;1;1;-1;2;0
1;0;2;0;1;0;15
1;0;1;0;1;0;6
-1;0;1;0;1;3;0
1;2;1;2;-1;0;7
1;2;2;2;-1;0;21
-1;1;1;3;1;0;20
-1;1;1;1;1;0;21
-1;2;1;2;1;0;0
1;0;1;3;1;0;22
1;0;1;2;1;0;22
-1;1;1;0;1;0;1
-1;0;2;3;1;5;0
1;0;2;3;1;0;21
-1;3;2;3;1;0;22
-1;3;2;3;-1;0;23
-1;3;1;2;-1;0;21
1;0;1;1;-1;0;21
-1;0;1;3;1;0;0
1;3;2;3;-1;0;0
1;3;2;3;1;0;0
1;1;1;2;1;0;0
-1;0;1;1;-1;0;8
1;1;2;1;1;0;0
1;1;1;0;1;0;14
1;1;2;1;-1;0;0
1;1;1;1;-1;0;0
1;1;1;0;-1;0;0
-1;3;1;1;-1;0;21
1;3;1;0;1;0;0
1;1;1;3;1;0;1
-1;0;1;3;-1;0;13
