1
-1;2;1;1;-1;0;0
-1;2;1;1;1;0;0
-1;3;1;1;-1;0;36
-1;3;1;2;-1;0;38
-1;3;1;2;1;0;38
1;3;1;2;1;0;0
1;3;2;2;1;2;0
-1;3;2;2;1;0;24
-1;0;2;2;1;18;0
-1;0;2;2;-1;4;0
1;0;2;2;1;0;38
1;0;2;2;-1;0;36
1;0;2;3;-1;0;38
1;0;2;3;1;0;38
-1;0;2;3;1;0;0
-1;0;1;3;1;2;0
1;0;1;3;1;0;15
1;0;1;3;-1;2;2
-1;0;1;3;-1;0;6
-1;0;1;2;-1;0;24
-1;0;2;3;-1;4;0
-1;0;1;2;1;2;22
1;0;1;2;1;0;38
-1;0;2;1;-1;0;0
-1;0;2;1;1;2;14
1;0;2;1;1;2;30
1;0;2;1;-1;0;35
1;1;2;2;-1;0;0
1;1;2;2;1;12;0
-1;1;2;2;1;0;36
-1;1;1;2;1;0;36
-1;1;1;1;1;0;13
-1;1;2;1;1;0;2
-1;1;2;0;1;0;37
-1;1;2;3;-1;0;27
-1;1;1;3;-1;0;2
-1;1;1;2;-1;0;0
-1;2;2;2;1;0;0
-1;2;2;3;1;4;0
1;2;2;3;1;0;36
1;2;2;0;1;1;38
1;2;2;0;-1;0;36
-1;2;2;0;-1;2;0
1;1;2;3;1;4;0
-1;1;2;2;-1;0;4
1;0;1;1;1;0;30
1;0;2;0;1;0;27
1;0;1;0;1;2;38
-1;0;2;0;-1;0;0
-1;0;2;0;1;0;20
1;0;2;0;-1;0;0
-1;0;1;1;-1;2;0
1;0;1;1;-1;0;36
1;3;1;1;-1;2;0
1;3;1;1;1;0;0
1;3;1;0;-1;2;9
1;3;1;0;1;0;0
-1;2;2;0;1;6;0
1;3;2;0;-1;0;0
1;3;2;1;1;2;0
-1;3;2;1;1;0;38
1;3;2;1;-1;0;0
1;3;1;2;-1;2;0
-1;3;2;2;-1;0;8
-1;3;2;0;-1;0;6
-1;3;1;0;-1;0;11
-1;0;1;0;-1;2;0
1;0;1;0;-1;0;21
-1;3;1;0;1;0;1
-1;3;1;1;1;0;15
-1;0;1;0;1;2;0
1;0;1;2;-1;0;25
-1;1;1;3;1;0;28
1;1;2;3;-1;2;0
-1;1;2;3;1;0;38
-1;0;1;1;1;0;22
1;1;2;0;1;2;0
1;1;2;0;-1;0;0
1;1;2;1;-1;0;0
1;1;1;1;-1;0;8
1;1;1;2;-1;0;2
-1;2;1;2;1;0;26
-1;2;1;3;1;0;23
-1;2;1;0;1;0;19
1;2;1;0;1;0;29
1;2;2;3;-1;0;17
1;2;1;3;-1;0;4
1;2;1;0;-1;0;0
-1;2;2;1;1;2;0
-1;2;2;1;-1;2;0
1;2;2;1;-1;0;8
1;2;2;1;1;0;38
